Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
Zwieback,426,21,19,29,General nutrition,Children,Other,27.45,Overweight
"Pork, braised, cooked, tongue, variety meats and by-products, fresh",271,3,2,20,General nutrition,Old age,Dinner,21.7,Normal weight
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,30,9,9,General nutrition,All ages,Other,27.45,Overweight
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, pepperoni topping",279,30,25,24,General nutrition,Adults,Other,21.7,Normal weight
"Whipped topping, low fat, frozen",224,37,23,27,General nutrition,All ages,Other,21.7,Normal weight
"Pickles, sour, cucumber",11,33,58,6,General nutrition,Old age,Other,18.5,Underweight
"Mollusks, raw, blue, mussel",86,26,20,24,General nutrition,All ages,Other,18.5,Underweight
"Turkey, roasted, cooked, meat and skin, breast, retail parts",164,0,81,3,General nutrition,All ages,Dinner,18.5,Underweight
"Beef, raw, select, trimmed to 0"" fat, separable lean only, small end (ribs 10-12), rib eye",149,1,63,24,General nutrition,Children,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",228,19,19,16,General nutrition,All ages,Dinner,21.7,Normal weight
"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",319,39,76,24,General nutrition,Old age,Other,21.7,Normal weight
"Puddings, prepared with 2% milk, instant, dry mix, lemon",107,2,37,2,General nutrition,All ages,Other,18.5,Underweight
"Soup, ready-to-serve, canned, chunky chicken noodle",41,26,81,27,General nutrition,Adults,Lunch,18.5,Underweight
"Beef, fast fried, cooked, separable lean and fat, striploin, imported, New Zealand",301,8,38,15,General nutrition,Children,Other,21.7,Normal weight
"Soybeans, steamed, cooked, sprouted, mature seeds",81,48,73,9,General nutrition,Adults,Other,18.5,Underweight
"Potato chips, reduced fat, without salt",487,40,90,26,General nutrition,All ages,Snack,27.45,Overweight
"Chicken, stewed, cooked, meat only, leg, broilers or fryers",185,0,81,23,General nutrition,Adults,Dinner,18.5,Underweight
"KASHI Pizza, unprepared, frozen, single serve, Greek Tzatziki",203,4,88,24,General nutrition,Old age,Other,21.7,Normal weight
"Beef, boiled, tripe cooked, variety meats and by-products, imported, New Zealand",103,43,58,8,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",161,14,12,20,General nutrition,Children,Dinner,18.5,Underweight
"Sausage,  lower sodium, Italian style, chicken or turkey",183,26,7,14,General nutrition,Adults,Dinner,18.5,Underweight
"Hominy, yellow, canned",72,46,70,1,General nutrition,Old age,Other,18.5,Underweight
"Frankfurter, meat",290,13,5,9,General nutrition,All ages,Dinner,21.7,Normal weight
"Ice creams, light, chocolate",187,12,75,11,General nutrition,Adults,Other,18.5,Underweight
"Kefir, LIFEWAY, plain, lowfat",41,39,38,23,General nutrition,Old age,Other,18.5,Underweight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",139,9,72,6,General nutrition,Children,Other,18.5,Underweight
"Spices, caraway seed",333,1,15,0,General nutrition,Adults,Other,21.7,Normal weight
"Beef, fast fried, cooked, separable lean only, rump centre, imported, New Zealand",188,39,66,26,General nutrition,Children,Other,18.5,Underweight
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",158,14,23,12,General nutrition,Old age,Other,18.5,Underweight
"Infant formula, ready-to-feed, low iron, SIMILAC, ABBOTT NUTRITION",65,47,86,12,General nutrition,Adults,Other,18.5,Underweight
"Soup, home-prepared, fish, stock",16,39,64,12,General nutrition,Adults,Lunch,18.5,Underweight
"Beans, unprepared, frozen, immature seeds, pinto",170,40,54,9,General nutrition,Children,Other,18.5,Underweight
"Cheese, without added vitamin D, American, pasteurized process",371,6,99,11,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, separable lean and fat, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",129,45,51,26,General nutrition,Old age,Dinner,18.5,Underweight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",215,20,5,28,General nutrition,Adults,Other,21.7,Normal weight
"Cereals, dry, Cranberry Almond, KELLOGG'S SPECIAL K NOURISH",361,29,14,17,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Dressing, fat-free, honey mustard",169,10,25,28,General nutrition,Children,Other,18.5,Underweight
"New england brand sausage, beef, pork",161,39,60,22,General nutrition,Old age,Other,18.5,Underweight
"Peas and onions, solids and liquids, canned",51,36,2,22,General nutrition,Adults,Other,18.5,Underweight
"Cereals, dry, 1 minute cook time, CREAM OF WHEAT",359,1,53,16,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"McDONALD'S, Hot Fudge Sundae",186,12,73,19,General nutrition,All ages,Other,18.5,Underweight
"Fish, raw, ling",87,45,18,16,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"Snacks, sesame seed, brown rice, rice cakes",392,41,75,27,General nutrition,Adults,Snack,21.7,Normal weight
"Spices, dried, basil",233,39,95,7,General nutrition,Children,Other,21.7,Normal weight
"Game meat, raw, separable lean only, bison",109,33,83,7,General nutrition,Old age,Dinner,18.5,Underweight
"Pork, unheated, separable lean and fat, bone-in, rump, ham -- water added, cured",172,16,2,11,General nutrition,All ages,Other,18.5,Underweight
"KELLOGG'S, Mixed Berry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO",259,11,12,19,"Antioxidant boost, Immune support, Skin health",Adults,Breakfast,21.7,Normal weight
"Cereals ready-to-eat, bite size, KELLOGG'S FROSTED MINI-WHEATS, KELLOGG",350,7,57,8,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, center slice, leg, fresh, imported, Australian",143,28,20,20,General nutrition,Children,Other,18.5,Underweight
"Pork, raw, separable lean and fat, boneless, Leg sirloin tip roast",113,47,52,3,General nutrition,All ages,Other,18.5,Underweight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, ribeye petite roast",164,28,12,3,General nutrition,Children,Other,18.5,Underweight
"Turkey, raw, meat and skin, dark meat",161,17,3,24,General nutrition,Old age,Dinner,18.5,Underweight
"Frozen novelties, SLIM-A-BEAR Chocolate Cone, KLONDIKE",224,32,50,27,General nutrition,Children,Other,21.7,Normal weight
"Babyfood, multigrain cereal and added iron fortified, with fruit, whole milk, yogurt",92,14,11,11,General nutrition,All ages,Breakfast,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",174,7,62,24,General nutrition,Children,Other,18.5,Underweight
"Beverages, 3-2-1 plan, Ready-To-Drink,  High Protein Shake, Meal replacement, SLIMFAST",58,20,44,26,General nutrition,Children,Other,18.5,Underweight
"Lebanon bologna, beef",172,15,8,10,General nutrition,All ages,Other,18.5,Underweight
"Cereals, dry, maple and brown sugar, Instant Oatmeal, QUAKER",368,22,67,6,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Brotwurst, link, beef, pork",323,42,66,11,General nutrition,Old age,Other,21.7,Normal weight
"Candies, REESE'S Peanut Butter Cups",515,25,84,1,General nutrition,Children,Other,27.45,Overweight
"Pork, roasted, cooked, separable lean only, boneless, center rib (roasts), loin, fresh",214,21,27,17,General nutrition,All ages,Other,21.7,Normal weight
"Salad dressing, bacon and tomato",326,19,82,25,General nutrition,Old age,Lunch,21.7,Normal weight
"KEEBLER, Frosted Cookies, ANIMALS",506,49,72,14,General nutrition,All ages,Other,27.45,Overweight
"Chicken, raw, with added solution, meat and skin, thigh, dark meat",197,32,97,7,General nutrition,Old age,Dinner,18.5,Underweight
"Corn, with salt, drained, boiled, cooked, white, sweet",97,20,70,24,General nutrition,Children,Other,18.5,Underweight
"Fast foods, caramel, sundae",196,18,64,23,General nutrition,Adults,Other,18.5,Underweight
"Pomegranate juice, bottled",54,45,71,1,General nutrition,All ages,Other,18.5,Underweight
"Cereals, dry, quick (1-3 minutes), assorted brands including CREAM OF WHEAT, enriched, farina",360,4,31,3,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Cereals ready-to-eat, MARSHMALLOW MATEYS, MALT-O-MEAL",387,12,32,27,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Mollusks, raw, snail",90,4,18,28,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",132,13,3,1,General nutrition,Adults,Other,18.5,Underweight
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, fresh, imported, Australian",231,48,55,28,General nutrition,Adults,Other,21.7,Normal weight
"Chicken, wing meat and skin, BBQ, rotisserie, broiler",257,35,71,18,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib",285,3,35,3,General nutrition,Old age,Other,21.7,Normal weight
"McDONALD'S, Hash Brown",271,17,80,29,General nutrition,Old age,Other,21.7,Normal weight
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham, cured",191,19,44,16,General nutrition,Old age,Other,18.5,Underweight
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, roast, bottom round, round",223,1,18,16,General nutrition,Old age,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",174,22,89,2,General nutrition,Old age,Dinner,18.5,Underweight
"Snacks, banana chips",519,35,60,25,General nutrition,All ages,Snack,27.45,Overweight
"BURGER KING, CROISSAN'WICH with Sausage and Cheese",376,20,90,4,General nutrition,Old age,Lunch,21.7,Normal weight
"Doughnuts, sugared or glazed, plain, cake-type",426,40,94,19,General nutrition,Adults,Snack,27.45,Overweight
"School Lunch, cooked, frozen, whole grain, thin crust, sausage topping, pizza",250,18,31,21,General nutrition,Old age,Lunch,21.7,Normal weight
"Turnover, frozen, meat and cheese, filled with egg",228,29,18,22,General nutrition,Old age,Breakfast,21.7,Normal weight
"Snacks, chocolate chip, KUDOS Whole Grain Bar, M&M MARS",420,36,99,10,"Sustained energy, Digestive health, Blood sugar control",All ages,Snack,27.45,Overweight
"Bockwurst, raw, veal, pork",301,1,24,7,General nutrition,Adults,Other,21.7,Normal weight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",157,30,53,26,General nutrition,Old age,Other,18.5,Underweight
"Fast foods, sausage, griddle cake sandwich",318,1,65,3,General nutrition,Children,Lunch,21.7,Normal weight
"Rice, dry, unenriched, parboiled, long-grain, white",374,13,49,3,General nutrition,All ages,Other,21.7,Normal weight
"Popcorn, fat-free, sugar syrup/caramel",381,49,10,17,General nutrition,All ages,Other,21.7,Normal weight
"Chicken, batter, fried, cooked, meat and skin, broilers or fryers",289,22,78,26,General nutrition,Adults,Dinner,21.7,Normal weight
"Fish, dry heat, cooked, burbot",115,42,20,20,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"Babyfood, junior, cherry vanilla pudding, dessert",69,36,73,14,General nutrition,Adults,Other,18.5,Underweight
"Infant formula, ready-to-feed, with iron, PROSOBEE, MEAD JOHNSON",63,7,81,29,General nutrition,Old age,Other,18.5,Underweight
"Turkey, raw, giblets, whole",124,45,35,27,General nutrition,All ages,Other,18.5,Underweight
"Pie crust, baked, prepared, dry mix, standard-type",501,10,15,13,General nutrition,Children,Other,27.45,Overweight
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Classic Chicken Noodle",45,24,33,2,General nutrition,Old age,Dinner,18.5,Underweight
"WORTHINGTON Chili, unprepared, canned",126,26,36,9,General nutrition,All ages,Other,18.5,Underweight
"Candies, white chocolate",539,46,7,14,General nutrition,Old age,Other,27.45,Overweight
"Lamb, braised, cooked,   trimmed to 1/8"" fat, separable lean only, arm, shoulder, fresh, imported, Australian",238,28,0,25,General nutrition,Old age,Other,21.7,Normal weight
"Corn, without salt, drained, boiled, cooked, yellow, sweet",96,28,36,29,General nutrition,All ages,Other,18.5,Underweight
"Infant formula, with ARA and DHA, ready-to-feed, GO AND GROW, SIMILAC, ABBOTT NUTRITION",66,30,43,10,General nutrition,Adults,Other,18.5,Underweight
"Desserts, prepared-from-recipe, chocolate, mousse",225,28,57,3,General nutrition,Old age,Other,21.7,Normal weight
"BURGER KING, Cheeseburger",286,28,73,6,General nutrition,All ages,Lunch,21.7,Normal weight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, roast, tip round, round",174,31,50,29,General nutrition,Old age,Other,18.5,Underweight
"McDONALD'S, Hamburger",264,34,92,22,General nutrition,Children,Lunch,21.7,Normal weight
"School Lunch, frozen, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Turkey Pepperoni Pizza, pizza",248,12,79,23,"Sustained energy, Digestive health, Blood sugar control",Old age,Lunch,21.7,Normal weight
"Beverages, fortified, ready to drink, milk and soy based, chocolate drink",101,14,7,28,General nutrition,All ages,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",160,48,86,15,General nutrition,Children,Dinner,18.5,Underweight
"CAMPBELL'S Red and White, condensed, Cream of Celery Soup",73,17,5,14,General nutrition,Old age,Lunch,18.5,Underweight
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",205,49,52,15,General nutrition,Old age,Other,21.7,Normal weight
"Chicken, simmered, cooked, all classes, heart",185,34,15,5,General nutrition,Old age,Dinner,18.5,Underweight
"Turkey, raw, meat only, from whole bird, drumstick",109,33,85,22,General nutrition,Adults,Dinner,18.5,Underweight
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham with natural juices, cured",118,31,92,3,General nutrition,All ages,Other,18.5,Underweight
"Cereals, dry, maple and brown sugar, fortified, instant, oats",368,11,60,28,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"KEEBLER, Coconut Cookies, CHIPS DELUXE",530,48,64,13,General nutrition,All ages,Snack,27.45,Overweight
"Polish sausage, pork",326,22,91,27,General nutrition,Adults,Other,21.7,Normal weight
"Beef, raw, separable lean and fat, flat, imported, New Zealand",177,27,76,25,General nutrition,Old age,Other,18.5,Underweight
"Smoked link sausage, pork",309,40,28,12,General nutrition,All ages,Other,21.7,Normal weight
"Chicken, no broth, canned",185,32,40,24,General nutrition,Adults,Dinner,18.5,Underweight
"Infant formula, not reconstituted, powder, NEXT STEP PROSOBEE, MEAD JOHNSON",480,30,90,27,General nutrition,All ages,Other,27.45,Overweight
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",117,27,25,28,General nutrition,Old age,Dinner,18.5,Underweight
"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",538,48,88,10,General nutrition,Children,Other,27.45,Overweight
"Peas, without salt, boiled, cooked, mature seeds, split",118,30,75,20,General nutrition,Adults,Other,18.5,Underweight
"Hyacinth-beans, without salt, drained, boiled, cooked, immature seeds",50,49,23,26,General nutrition,Children,Other,18.5,Underweight
"Pork, broiled, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",260,45,11,14,General nutrition,Children,Other,21.7,Normal weight
"Cake, dry mix, carrot, pudding-type",415,9,21,23,General nutrition,Adults,Other,27.45,Overweight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast or steak",127,31,14,11,General nutrition,Adults,Dinner,18.5,Underweight
"Babyfood, with tomato sauce, cheese filled, ravioli",99,4,79,9,General nutrition,Children,Other,18.5,Underweight
"Pie Crust, Ready Crust, Graham Cracker, Cookie-type",501,44,67,0,General nutrition,Adults,Other,27.45,Overweight
"Bagels, with calcium propionate (includes onion, poppy, sesame), unenriched, plain",275,43,88,10,General nutrition,Old age,Other,21.7,Normal weight
"Fast foods, with egg and ham, biscuit",233,26,44,1,General nutrition,Children,Breakfast,21.7,Normal weight
"Cereals ready-to-eat, Cinnamon Burst CHEERIOS, GENERAL MILLS",375,24,16,8,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Babyfood, strained, orange, fruit pudding, dessert",80,14,95,13,General nutrition,Old age,Snack,18.5,Underweight
"Snacks, peanut butter, KUDOS Whole Grain Bars, M&M MARS",463,14,78,1,"Sustained energy, Digestive health, Blood sugar control",Adults,Snack,27.45,Overweight
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",195,25,60,13,General nutrition,All ages,Other,18.5,Underweight
"Rice mix, unprepared, dry mix, cheese flavor",362,34,85,12,General nutrition,All ages,Other,21.7,Normal weight
"Cake, prepared from recipe, biscuit-type, shortcake",346,29,50,12,General nutrition,Old age,Other,21.7,Normal weight
"Beverages, decaffeinated, restaurant-prepared, espresso, brewed, coffee",9,5,74,4,General nutrition,Old age,Other,18.5,Underweight
"Cookies, unenriched, higher fat, regular, commercially prepared, chocolate chip",481,33,70,8,General nutrition,All ages,Other,27.45,Overweight
"McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",262,17,70,18,General nutrition,Old age,Other,21.7,Normal weight
"Danish pastry, unenriched, raspberry",371,18,94,18,General nutrition,Adults,Other,21.7,Normal weight
"DENNY'S, golden fried shrimp",319,44,93,16,General nutrition,Old age,Other,21.7,Normal weight
"Blueberries, unsweetened, frozen",51,46,33,12,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, CORN BURSTS, MALT-O-MEAL",385,18,56,8,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Fish, dry heat, cooked, wild, coho, salmon",139,13,94,28,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Restaurant, Arroz con habichuelas colorados (Rice And Red Beans), Latino",142,41,62,15,General nutrition,Old age,Other,18.5,Underweight
"Veal, roasted, cooked, separable lean only, leg (top round)",150,25,96,1,General nutrition,Adults,Other,18.5,Underweight
"Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers",233,18,98,16,General nutrition,Children,Dinner,21.7,Normal weight
"Fish, raw, Atlantic, ocean perch",79,39,21,26,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"Wheat flour, enriched, bleached, 13% protein, white (industrial)",362,10,59,12,General nutrition,All ages,Other,21.7,Normal weight
"Beans, without salt, boiled, cooked, mature seeds, all types, kidney",127,16,38,10,General nutrition,All ages,Other,18.5,Underweight
"Chicken, raw, all classes, gizzard",94,5,44,21,General nutrition,Children,Dinner,18.5,Underweight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, tip round, round",189,17,25,29,General nutrition,All ages,Other,18.5,Underweight
"Soup, reduced sodium, condensed, canned, cream of chicken",58,2,28,19,General nutrition,Children,Lunch,18.5,Underweight
"Oil, used for whipped toppings and coffee whiteners, coconut (hydrogenated), industrial",880,19,25,4,General nutrition,Old age,Other,30.0,Obesity
"MORNINGSTAR FARMS Chik Patties, unprepared, frozen",197,32,87,29,General nutrition,Children,Other,18.5,Underweight
"Lamb, cooked, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",305,21,75,27,General nutrition,Old age,Other,21.7,Normal weight
"CRACKER BARREL, steak fries",255,17,1,26,General nutrition,Children,Dinner,21.7,Normal weight
"Puddings, with added oil, regular, dry mix, banana",387,34,80,8,General nutrition,All ages,Other,21.7,Normal weight
"Pasta, dry, remaining unenriched semolina, 51% whole wheat, whole grain",362,19,37,8,General nutrition,All ages,Dinner,21.7,Normal weight
"HORMEL ALWAYS TENDER, Peppercorn-Flavored, Pork Tenderloin",110,47,43,10,General nutrition,Old age,Other,18.5,Underweight
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",231,40,49,26,General nutrition,Children,Other,21.7,Normal weight
"WORTHINGTON Prosage Roll, unprepared, frozen",261,34,6,28,General nutrition,Children,Other,21.7,Normal weight
"Fish, kippered, Atlantic, herring",217,40,71,11,"Brain development, Joint health, Mood improvement",Adults,Dinner,21.7,Normal weight
"DENNY'S, top sirloin steak",182,24,65,17,General nutrition,Adults,Dinner,18.5,Underweight
"Fish, dry heat, cooked, farmed, coho, salmon",178,44,29,28,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Milk, without added vitamin A and vitamin D (fat free or skim), fluid, nonfat",34,40,50,5,General nutrition,Children,Other,18.5,Underweight
"Beef, baked, cooked, loaf, 75% lean meat / 25% fat, ground",254,31,4,5,General nutrition,Old age,Dinner,21.7,Normal weight
"McDONALD'S, Chicken McNUGGETS",302,0,17,20,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak/roast",148,0,92,12,General nutrition,All ages,Dinner,18.5,Underweight
"Fish, drained solids with bone, canned, chum, salmon",141,19,9,12,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Soup, single brand, ready-to-serve, chunky, potato ham chowder",80,13,37,12,General nutrition,Adults,Lunch,18.5,Underweight
"Beef, raw, heart, variety meats and by-products, imported, New Zealand",105,35,21,2,General nutrition,Adults,Dinner,18.5,Underweight
"Margarine, stick, soybean and partially hydrogenated soybean, 70% fat, margarine-type vegetable oil spread",628,24,63,21,General nutrition,Children,Other,30.0,Obesity
"Infant formula, with ARA and DHA, ready-to-feed, LIPIL, ENFAMIL, MEAD JOHNSON",66,49,24,6,General nutrition,Children,Other,18.5,Underweight
"Milk, calcium reduced, nonfat, dry",354,49,98,1,General nutrition,Adults,Other,21.7,Normal weight
"WORTHINGTON Meatless Corned Beef Roll, unprepared, frozen",245,9,31,23,"Muscle building, Iron absorption, Zinc boost",Adults,Dinner,21.7,Normal weight
"Cereals ready-to-eat, Honey Nut Shredded Wheat, POST",373,8,10,18,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Tofu, prepared with calcium sulfate, regular, raw",76,43,66,7,General nutrition,Old age,Other,18.5,Underweight
"Crustaceans, raw, blue, crab",87,28,8,0,General nutrition,All ages,Other,18.5,Underweight
"SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies",499,40,0,28,General nutrition,Children,Lunch,27.45,Overweight
"Seeds, with salt added, roasted, whole, pumpkin and squash seeds",446,0,66,3,"Heart health, Weight management, Brain function",Adults,Other,27.45,Overweight
"KFC, meat and skin with breading, Wing, EXTRA CRISPY, Fried Chicken",337,34,91,11,General nutrition,Old age,Dinner,21.7,Normal weight
"PIZZA HUT 14"" Pepperoni Pizza, THIN 'N CRISPY Crust",333,30,86,28,General nutrition,All ages,Other,21.7,Normal weight
"Fish, drained solids, canned in oil, light, tuna",198,2,0,21,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"KEEBLER, Original, Magic Middles Fudge Filled Cookies, FUDGE SHOPPE",521,19,97,26,General nutrition,All ages,Other,27.45,Overweight
"Margarine-like, without salt, 20% fat, vegetable oil spread",175,36,89,29,General nutrition,Adults,Other,18.5,Underweight
"Fast Foods, skin and breading removed, meat only, Drumstick, Fried Chicken",172,30,89,16,General nutrition,Adults,Dinner,18.5,Underweight
"Puddings, instant, dry mix, chocolate",378,49,8,7,General nutrition,Children,Other,21.7,Normal weight
"Milk, without added vitamin A and vitamin D, 2% milkfat, fluid, reduced fat",50,34,27,13,General nutrition,Adults,Other,18.5,Underweight
"Cookies, chocolate cream covered biscuit sticks",447,29,45,2,General nutrition,Old age,Other,27.45,Overweight
"Margarine-like, with salt, liquid, fat free, vegetable oil spread",43,24,43,25,General nutrition,Adults,Other,18.5,Underweight
"Pork, roasted, cooked, separable lean only, shank half, leg (ham), fresh",175,2,77,13,General nutrition,All ages,Other,18.5,Underweight
"Beans, raw, mature seeds, small white",336,12,58,15,General nutrition,Adults,Other,21.7,Normal weight
"Beef, boiled, cooked, heart, variety meats and by-products, imported, New Zealand",179,5,73,0,General nutrition,Children,Dinner,18.5,Underweight
"Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",385,44,55,16,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Yogurt, lowfat, flavors other than chocolate, frozen",139,1,84,3,General nutrition,Old age,Other,18.5,Underweight
"Cereals ready-to-eat, REESE'S PUFFS, GENERAL MILLS",413,18,26,7,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,27.45,Overweight
"OSCAR MAYER, Wieners (beef franks)",329,5,74,11,General nutrition,Children,Other,21.7,Normal weight
"Sour cream, light",136,38,95,21,General nutrition,All ages,Other,18.5,Underweight
"Apples, uncooked, sulfured, dried",243,2,16,20,General nutrition,All ages,Other,21.7,Normal weight
"Fish, smoked, cisco",177,47,68,10,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Restaurant, refried beans, Mexican",156,4,16,0,General nutrition,All ages,Other,18.5,Underweight
"Fast foods, and canadian bacon, cheese, with egg, english muffin",228,6,21,14,General nutrition,All ages,Breakfast,21.7,Normal weight
"Cookies, chocolate-coated, graham crackers",500,16,58,14,General nutrition,Old age,Breakfast,27.45,Overweight
"Corn, no salt added, vacuum pack, canned, white, sweet",79,41,80,25,General nutrition,Adults,Other,18.5,Underweight
"Beans, raw, mature seeds, cranberry (roman)",335,4,64,14,General nutrition,All ages,Other,21.7,Normal weight
"Cheese, cream",350,40,85,8,General nutrition,Adults,Other,21.7,Normal weight
"Cereals ready-to-eat, Corn CHEX, GENERAL MILLS",370,12,12,0,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Beverages, strawberry, fast food, shake",113,46,17,14,General nutrition,All ages,Other,18.5,Underweight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",247,37,27,13,General nutrition,Adults,Dinner,21.7,Normal weight
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",143,1,11,23,General nutrition,Old age,Dinner,18.5,Underweight
"Taco shells, baked",476,41,19,26,General nutrition,Old age,Other,27.45,Overweight
"Ravioli, includes regular and light entrees, not prepared, frozen, cheese with tomato sauce",111,20,89,18,General nutrition,Old age,Other,18.5,Underweight
"Turkey, raw, with added solution, meat only, from whole bird, back",115,5,65,25,General nutrition,All ages,Dinner,18.5,Underweight
"PREGO Pasta, ready-to-serve, Fresh Mushroom Italian Sauce",54,20,84,28,General nutrition,All ages,Dinner,18.5,Underweight
"Cookies, gingersnaps",416,42,74,2,General nutrition,All ages,Other,27.45,Overweight
"Candies, prepared-from-recipe, vanilla, fudge",383,18,85,4,General nutrition,All ages,Other,21.7,Normal weight
"Mushrooms, raw, exposed to ultraviolet light, portabella",22,47,11,5,General nutrition,Old age,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak/roast",161,12,48,4,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top sirloin",257,5,8,17,General nutrition,Children,Dinner,21.7,Normal weight
"Coffeecake, cheese",339,14,57,10,General nutrition,All ages,Other,21.7,Normal weight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",153,21,13,28,General nutrition,Old age,Dinner,18.5,Underweight
