Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Babyfood, toddler, macaroni and cheese",82,25,34,24,"E, C, A, D",Snacks,21.8,Normal weight,"Zinc, Iron, Magnesium",General nutrition,Old age,"Sepsis, Schizophrenia, Encephalitis"
"Cheese, edam",357,48,39,3,E,Others,21.2,Normal weight,"Calcium, Magnesium",General nutrition,Children,Polycystic Ovary Syndrome (PCOS)
"Pork, braised, cooked, lungs, variety meats and by-products, fresh",99,1,60,22,B,Snacks,19.0,Normal weight,Zinc,General nutrition,All ages,Hypothyroidism
"Oil, hazelnut",884,15,14,25,C,Others,26.1,Overweight,"Iron, Zinc, Magnesium",General nutrition,Children,"Schizophrenia, Liver Disease, Hypoglycemia"
"Margarine, tub, 67-70% fat, margarine-like vegetable oil spread",606,16,31,14,"D, B",Lunch,23.4,Normal weight,"Zinc, Magnesium, Iron",General nutrition,All ages,Mucopolysaccharidosis
"Yogurt, fortified with vitamin D, with low calorie sweetener, lowfat, fruit",105,23,22,22,D,Snacks,23.2,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Children,"Anxiety, Seizure Disorders"
"Lima beans, without salt, boiled, cooked, mature seeds, thin seeded (baby)",126,35,12,25,"E, D",Snacks,21.3,Normal weight,"Iron, Zinc",General nutrition,All ages,"Bulimia Nervosa, Food Allergies, Diverticulitis"
"Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS",397,45,33,28,"C, A, B",Others,28.9,Overweight,"Zinc, Magnesium, Iron","Sustained energy, Digestive health, Blood sugar control",Old age,"Thalassemia, Food Allergies"
"Beef, braised, cooked, separable lean only, hind shin, imported, New Zealand",167,5,10,10,"E, A",Snacks,17.7,Underweight,"Zinc, Calcium, Magnesium",General nutrition,Adults,"Cushing's Syndrome, Pancreatitis"
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",267,45,92,4,"E, A, D, C",Breakfast,28.1,Overweight,"Calcium, Iron",General nutrition,Children,"Ovarian Cancer, Alzheimer's Disease"
"Beef, braised, cooked, choice, separable lean and fat, chuck for stew",194,7,52,3,"E, B, D",Snacks,16.2,Underweight,Zinc,General nutrition,All ages,"Food Allergies, Ovarian Cancer"
"Cheese, large or small curd, dry, uncreamed, nonfat, cottage",72,40,92,10,D,Snacks,29.0,Overweight,Zinc,General nutrition,Adults,Lactose Intolerance
"Infant formula, with ARA and DHA, ready-to-feed, ADVANCE, ALIMENTUM, SIMILAC, ABBOTT NUTRITION",67,28,84,28,A,Snacks,26.4,Overweight,"Calcium, Iron, Magnesium",General nutrition,Children,Arthritis
"CAMPBELL'S, condensed, Vegetable Beef Soup",65,16,7,20,"A, D",Snacks,19.0,Normal weight,"Zinc, Iron","Cancer prevention, Eye health, Bone strength",Old age,"Malnutrition, Autism Spectrum Disorder"
"McDONALD'S, Egg McMUFFIN",228,31,1,12,"A, C, E",Others,19.3,Normal weight,Magnesium,General nutrition,Adults,Ulcers
"Restaurant, shrimp and vegetables, Chinese",78,18,74,0,"A, C, E, D",Snacks,19.3,Normal weight,"Magnesium, Zinc",General nutrition,Children,"Diverticulitis, Cystic Fibrosis, Irritable Bowel Syndrome"
"Restaurant, chicken chow mein, Chinese",85,31,27,7,"C, A, B, E",Snacks,19.9,Normal weight,"Calcium, Magnesium",General nutrition,Old age,"Gallstones, Zellweger Spectrum Disorder"
"PREGO Pasta, ready-to-serve, Italian Sausage and Garlic Italian Sauce",72,40,28,21,"D, E, C, B",Snacks,23.3,Normal weight,"Magnesium, Iron, Zinc",General nutrition,All ages,"Malnutrition, Diabetes, High Cholesterol"
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",465,38,37,1,"C, A, B, D",Lunch,21.4,Normal weight,"Magnesium, Calcium",General nutrition,Children,"Diverticulitis, Arthritis"
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic",259,22,88,16,D,Breakfast,29.8,Overweight,Magnesium,General nutrition,All ages,Hemophilia
"Beef, raw, choice, separable lean only, shortribs, rib",173,23,87,16,"E, A",Snacks,27.9,Overweight,Magnesium,General nutrition,Adults,"Hepatitis, Lymphoma"
"Pasta mix, unprepared, Italian lasagna",356,20,25,26,"B, A, C, E",Others,21.6,Normal weight,"Magnesium, Iron",General nutrition,Children,"Eczema, Glycogen Storage Disease"
"Frozen novelties, no sugar added, 98% fat free, SLIM-A-BEAR Fudge Bar, KLONDIKE",124,35,56,12,"D, E, B",Snacks,20.9,Normal weight,"Magnesium, Calcium, Iron",General nutrition,Adults,Gallstones
"Snacks, mixed flavors, CLIF BAR",346,4,64,20,D,Others,24.7,Normal weight,Zinc,General nutrition,Children,Kidney Disease
"PEPPERIDGE FARM, Deli Swirl Bread",247,39,77,8,D,Breakfast,25.1,Overweight,"Calcium, Zinc",General nutrition,All ages,Fibromyalgia
"Chicken, fried, cooked, meat only, light meat, broilers or fryers",192,47,77,9,"E, D",Snacks,27.0,Overweight,"Magnesium, Calcium",General nutrition,Children,"Breast Cancer, Liver Disease"
"Pork, braised, cooked, separable lean only, whole, loin, fresh",204,30,1,18,A,Others,23.7,Normal weight,Calcium,General nutrition,Old age,"Phenylketonuria, Leigh Syndrome, Ornithine Transcarbamylase Deficiency"
"Pork, raw, separable lean only, arm picnic, shoulder, fresh",120,28,50,20,"D, A, E, B",Snacks,20.6,Normal weight,"Calcium, Zinc",General nutrition,All ages,"Heart Disease, Dementia, Multiple Sclerosis"
"Game meat, raw, water, buffalo",99,4,44,28,"D, A",Snacks,19.3,Normal weight,Zinc,General nutrition,Adults,"Hypothyroidism, Systemic Lupus Erythematosus, Hyperoxaluria"
"Beef, broiled, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",308,25,27,23,"D, A, E, C",Breakfast,21.1,Normal weight,"Iron, Magnesium",General nutrition,Children,"Eating Disorders, Fibromyalgia, Phenylketonuria"
"Tomatoes, drained, packed in oil, sun-dried",213,6,46,20,"A, B, D, E",Others,19.6,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Old age,Leigh Syndrome
"Chicken, flour, fried, cooked, meat and skin, neck, broilers or fryers",332,46,66,11,C,Breakfast,26.7,Overweight,Zinc,General nutrition,Children,"Gaucher's Disease, Encephalitis, Schizophrenia"
"Toaster Pastries, Frosted strawberry, KELLOGG'S POP TARTS, KELLOGG",390,20,12,26,A,Others,18.8,Normal weight,Magnesium,General nutrition,Old age,"Lymphoma, Arthritis, Liver Disease"
"Barbecue loaf, beef, pork",173,24,92,17,"B, D",Snacks,28.0,Overweight,"Magnesium, Calcium, Zinc",General nutrition,Children,Maple Syrup Urine Disease
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",273,17,71,8,"B, C, A",Breakfast,19.6,Normal weight,"Iron, Magnesium, Zinc",General nutrition,Children,"Hyperthyroidism, Multiple Sclerosis, Cystinosis"
"Creamy dressing, reduced calorie, made with sour cream and/or buttermilk and oil",160,36,52,0,"A, E, C, D",Snacks,22.1,Normal weight,"Magnesium, Zinc, Iron",General nutrition,Adults,"Sjogren's Syndrome, Psoriasis"
"Restaurant, Arroz con frijoles negros (rice and black beans), Latino",151,5,73,24,"B, A, E, C",Snacks,20.4,Normal weight,"Zinc, Magnesium",General nutrition,Children,"Hepatitis, Raynaud's Disease"
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean only, flat half, brisket",203,41,58,13,"B, E, A",Breakfast,28.1,Overweight,Iron,General nutrition,Adults,"Tay-Sachs Disease, Fabry Disease, GERD"
"Borage, raw",21,8,56,8,D,Snacks,22.5,Normal weight,Zinc,General nutrition,Old age,"Psoriasis, Anorexia Nervosa"
"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",146,8,31,19,"E, D, B",Snacks,23.9,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,All ages,"Lung Cancer, Acromegaly, Autism Spectrum Disorder"
"Pasta mix, unprepared, classic cheeseburger macaroni",349,40,67,27,"D, C",Breakfast,27.5,Overweight,"Zinc, Calcium, Magnesium",General nutrition,Adults,"Scleroderma, Cushing's Syndrome, Heart Disease"
"Squash, without salt, baked, cooked, all varieties, winter",37,43,8,10,"D, E, A",Snacks,20.5,Normal weight,Iron,General nutrition,Children,"Obesity, Ornithine Transcarbamylase Deficiency, GERD"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak/roast",253,48,58,21,D,Breakfast,26.0,Overweight,"Calcium, Zinc",General nutrition,Adults,"Zellweger Spectrum Disorder, Gout, Asthma"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",183,5,5,5,"E, C",Snacks,18.1,Underweight,"Magnesium, Calcium",General nutrition,Old age,Thyroid Disorders
"Snacks, cheese-flavor, made from dried potatoes, potato chips",551,33,24,13,D,Lunch,20.8,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Adults,Galactosemia
"Lambsquarters, without salt, drained, boiled, cooked",32,11,77,17,"B, D, E, C",Snacks,18.6,Normal weight,Zinc,General nutrition,Old age,"Galactosemia, Eczema, Meningitis"
"Fish, drained solids, canned in water, light, tuna",86,31,61,16,D,Snacks,19.2,Normal weight,"Iron, Magnesium","Brain development, Joint health, Mood improvement",Children,"Wilson's Disease, Dementia"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",120,43,93,14,A,Snacks,25.2,Overweight,"Magnesium, Calcium, Iron",General nutrition,Adults,"Arthritis, Epilepsy, Congenital Heart Disease"
"Pork, pan-broil, heated, separable lean only, boneless, slice, ham with natural juices, cured",116,0,26,20,"D, B, E, C",Snacks,18.9,Normal weight,Calcium,General nutrition,Old age,"Breast Cancer, Addison's Disease, Glycogen Storage Disease"
"Pork, raw, separable lean only, country-style, center slice, ham, cured",195,15,89,12,"D, E, B",Snacks,19.8,Normal weight,"Magnesium, Iron, Zinc",General nutrition,Adults,"Binge Eating Disorder, Macular Degeneration, Rett Syndrome"
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, domestic",243,24,80,17,B,Breakfast,29.7,Overweight,"Calcium, Iron",General nutrition,Children,"Neurofibromatosis, Polycystic Ovary Syndrome (PCOS), Eating Disorders"
"French toast, made with low fat (2%) milk, prepared from recipe",229,30,40,13,"D, C, E",Breakfast,20.0,Normal weight,"Magnesium, Calcium",General nutrition,Adults,"Prader-Willi Syndrome, Neurofibromatosis, Maple Syrup Urine Disease"
"Fish, plain (Alaska Native), Pacific, herring eggs",74,1,48,23,"B, A, C",Snacks,22.1,Normal weight,"Iron, Calcium","Brain development, Joint health, Mood improvement",All ages,"Endometriosis, Hemophilia"
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top sirloin cap steak, loin",189,30,8,14,B,Snacks,18.8,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Children,"Congenital Heart Disease, Hemophilia, Malnutrition"
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",217,49,28,3,"D, E, A",Others,23.6,Normal weight,"Calcium, Iron, Zinc",General nutrition,Children,"Prostate Cancer, Cystic Fibrosis"
"Wheat flour, soft wheat, whole-grain",332,0,96,28,"D, B, E",Others,28.5,Overweight,"Magnesium, Iron, Calcium",General nutrition,Adults,"Tuberculosis, Obesity, Cystic Fibrosis"
"McDONALD'S, McCHICKEN Sandwich",273,3,57,23,"C, B",Others,24.3,Normal weight,"Magnesium, Iron",General nutrition,Adults,Osteoporosis
"McDONALD'S, with syrup and margarine, Deluxe Breakfast",285,3,60,7,A,Others,23.4,Normal weight,Magnesium,General nutrition,Children,Eating Disorders
"Fish, raw, european, anchovy",131,32,40,17,"C, A, E, B",Snacks,20.0,Normal weight,Zinc,"Brain development, Joint health, Mood improvement",Adults,Prader-Willi Syndrome
"PEPPERIDGE FARM, Whole Grain 100% Whole Wheat Bread",263,7,85,20,"C, E",Others,18.6,Normal weight,"Zinc, Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,"Maple Syrup Urine Disease, Thyroid Disorders"
"ARBY'S, classic, roast beef sandwich",242,8,46,29,"A, D",Others,18.6,Normal weight,"Calcium, Magnesium",General nutrition,Children,Prader-Willi Syndrome
"Lamb, cooked, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts, fresh, imported, Australian",201,10,0,25,"A, B, C",Others,22.1,Normal weight,"Iron, Magnesium",General nutrition,Old age,Eating Disorders
"Lamb, soaked and fried, cooked, kidney, imported, New Zealand",112,37,10,22,"B, C, E",Snacks,20.1,Normal weight,Zinc,General nutrition,Old age,Heart Disease
"Pork, pan-broiled, cooked, 72% lean / 28% fat, ground",377,45,97,2,D,Breakfast,28.7,Overweight,"Zinc, Iron, Magnesium",General nutrition,Children,"Lymphoma, Lactose Intolerance"
"Bologna, pork, turkey, chicken",298,29,27,10,A,Others,20.3,Normal weight,"Zinc, Calcium, Iron",General nutrition,Children,"Ulcers, Sickle Cell Anemia"
"Beans, plain or vegetarian, canned, baked",94,40,37,21,E,Snacks,28.5,Overweight,"Iron, Calcium",General nutrition,Old age,"Hemophilia, HIV/AIDS"
"Fish, raw, mixed species, roe",143,18,73,13,"C, B, A",Snacks,21.5,Normal weight,Magnesium,"Brain development, Joint health, Mood improvement",Adults,"Heart Disease, Gaucher's Disease, Menopause"
"Beef, raw, inside, imported, New Zealand",128,8,57,7,"B, C",Snacks,19.9,Normal weight,"Zinc, Magnesium",General nutrition,Adults,"Chronic Pain, Alzheimer's Disease"
"Pork, roasted, heated, separable lean only, bone-in, rump, ham with natural juices, cured",137,21,87,14,"E, D, A",Snacks,20.6,Normal weight,Iron,General nutrition,All ages,"Ulcerative Colitis, Eczema"
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, foreshank, domestic",120,24,69,15,B,Snacks,23.6,Normal weight,"Zinc, Iron",General nutrition,All ages,"Seizure Disorders, Depression, Sleep Apnea"
"Soup, prepared with equal volume milk, canned, tomato bisque",79,38,97,2,"B, D, E, A",Snacks,21.5,Normal weight,"Zinc, Iron, Magnesium",General nutrition,Adults,"Bulimia Nervosa, Rett Syndrome"
"Soup, condensed, canned, cream of chicken",90,16,68,14,"B, E, C",Snacks,22.9,Normal weight,Calcium,General nutrition,Adults,"Obesity, Thyroid Disorders, Mucopolysaccharidosis"
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, fresh, imported, Australian",229,0,30,25,C,Others,20.5,Normal weight,"Calcium, Magnesium",General nutrition,All ages,"Neurofibromatosis, Multiple Sclerosis, Myeloma"
"Game meat, roasted, cooked, deer",158,39,71,3,"D, E",Snacks,18.9,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Adults,"Fibromyalgia, Gaucher's Disease"
"Mushrooms, with salt, drained, boiled, cooked, white",28,23,52,0,"E, A, B, C",Snacks,19.8,Normal weight,"Iron, Calcium",General nutrition,Children,"Cancer, Systemic Lupus Erythematosus"
"Soup, prepared with equal volume water, canned, mushroom barley",30,14,36,5,D,Snacks,16.4,Underweight,"Magnesium, Iron",General nutrition,Children,"Rett Syndrome, Leukemia"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast, loin",170,44,26,14,"C, D, B, A",Snacks,20.5,Normal weight,"Iron, Zinc",General nutrition,Old age,Galactosemia
"Fast foods, with tartar sauce, fish sandwich",257,2,72,21,"B, D, A, C",Others,20.0,Normal weight,"Calcium, Iron",General nutrition,Adults,"Cushing's Syndrome, Epilepsy, Seizure Disorders"
"Pork, raw, separable lean and fat, bone-in, center loin (chops), loin, fresh",170,34,32,4,"D, C, E, B",Snacks,18.6,Normal weight,"Iron, Calcium",General nutrition,Adults,"Hemochromatosis, Pancreatitis"
"Chicken, roasted, cooked, meat and skin, light meat, broilers or fryers",222,49,38,27,"C, D, E, A",Others,26.5,Overweight,"Iron, Zinc",General nutrition,Old age,"GERD, Epilepsy"
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",264,25,71,17,A,Breakfast,25.4,Overweight,Magnesium,General nutrition,Old age,"Fibromyalgia, Inflammatory Bowel Disease"
"Lamb, slow roasted, cooked, separable lean only, boneless, rolled, netted shoulder, imported, New Zealand",199,27,84,26,"B, C",Snacks,26.4,Overweight,Iron,General nutrition,Children,"Dementia, Angelman Syndrome"
"Cornmeal, enriched, plain, bolted, self-rising, white",334,28,66,9,"D, E",Breakfast,19.4,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Adults,Lymphoma
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",205,16,30,27,B,Others,24.3,Normal weight,"Magnesium, Zinc",General nutrition,Old age,"Encephalitis, Attention Deficit Hyperactivity Disorder (ADHD), Endometriosis"
"MURRAY, Chocolate Chip Cookies, SUGAR FREE",469,48,14,15,"B, A, D, C",Lunch,28.0,Overweight,Magnesium,General nutrition,All ages,Hepatitis
"KFC, skin and breading removed, meat only, Thigh, EXTRA CRISPY, Fried Chicken",179,30,22,9,E,Snacks,19.6,Normal weight,Magnesium,General nutrition,Old age,Thyroid Disorders
"Tofu, salted and fermented (fuyu)",116,34,3,6,"D, C, E",Snacks,20.3,Normal weight,"Calcium, Magnesium",General nutrition,Children,"Bulimia Nervosa, COPD"
"Veal, not breaded, pan-fried, cooked, separable lean and fat, leg (top round)",211,10,14,1,"B, D, E",Breakfast,17.5,Underweight,Calcium,General nutrition,Old age,"Sleep Apnea, Prader-Willi Syndrome, Hemophilia"
"Fish, kippered (Alaska Native), (sockeye), red, salmon",141,13,55,25,C,Snacks,23.2,Normal weight,Calcium,"Brain development, Joint health, Mood improvement",Children,"Bipolar Disorder, Systemic Lupus Erythematosus, Galactosemia"
"Pizza, cooked, frozen, rising crust, cheese topping",260,35,39,8,"E, A, C, D",Breakfast,20.5,Normal weight,Magnesium,General nutrition,Adults,Pelvic Inflammatory Disease
"Cereals ready-to-eat, Crunchy Almond, OATMEAL CRISP, GENERAL MILLS",390,13,75,10,"E, B",Breakfast,19.7,Normal weight,"Iron, Zinc, Calcium","Sustained energy, Digestive health, Blood sugar control",All ages,"Hypothyroidism, Gaucher's Disease"
"Vitasoy USA, Organic Nasoya Firm Tofu",84,2,12,24,"D, C, B",Snacks,23.1,Normal weight,"Calcium, Iron, Zinc",General nutrition,All ages,"Systemic Lupus Erythematosus, Ovarian Cancer, Congenital Heart Disease"
Zwieback,426,21,19,29,"C, E, D, B",Lunch,29.4,Overweight,Calcium,General nutrition,Children,Ulcers
"Pork, braised, cooked, tongue, variety meats and by-products, fresh",271,3,2,20,"B, C, A",Others,21.1,Normal weight,Iron,General nutrition,Old age,"Autism Spectrum Disorder, Tay-Sachs Disease, Psoriasis"
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,30,9,9,"E, D, C, B",Lunch,19.4,Normal weight,"Magnesium, Iron",General nutrition,All ages,Alkaptonuria
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, pepperoni topping",279,30,25,24,A,Others,27.2,Overweight,"Calcium, Zinc",General nutrition,Adults,"Arthritis, Sleep Apnea"
"Whipped topping, low fat, frozen",224,37,23,27,E,Others,29.9,Overweight,"Magnesium, Zinc, Iron",General nutrition,All ages,"Sepsis, Glaucoma, Malnutrition"
"Pickles, sour, cucumber",11,33,58,6,"C, B, E, A",Snacks,21.0,Normal weight,"Magnesium, Zinc, Iron",General nutrition,Old age,"Addison's Disease, Macular Degeneration"
"Mollusks, raw, blue, mussel",86,26,20,24,"B, D, C",Snacks,20.2,Normal weight,"Iron, Zinc",General nutrition,All ages,"Glycogen Storage Disease, Gallstones, Pelvic Inflammatory Disease"
"Turkey, roasted, cooked, meat and skin, breast, retail parts",164,0,81,3,C,Snacks,21.7,Normal weight,"Magnesium, Calcium, Iron",General nutrition,All ages,"Thalassemia, Meningitis, Hepatitis"
"Beef, raw, select, trimmed to 0"" fat, separable lean only, small end (ribs 10-12), rib eye",149,1,63,24,"B, E, A",Snacks,24.8,Normal weight,"Zinc, Magnesium",General nutrition,Children,Cancer
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, Denver Cut, boneless, under blade center steak, chuck",228,19,19,16,"D, C, B, E",Others,19.5,Normal weight,Calcium,General nutrition,All ages,Cataracts
"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",319,39,76,24,C,Breakfast,27.8,Overweight,Iron,General nutrition,Old age,"Osteoporosis, Heart Disease, Acromegaly"
"Puddings, prepared with 2% milk, instant, dry mix, lemon",107,2,37,2,"D, A",Snacks,17.2,Underweight,Zinc,General nutrition,All ages,"Kidney Disease, Hyperoxaluria, Alkaptonuria"
"Soup, ready-to-serve, canned, chunky chicken noodle",41,26,81,27,"E, C",Snacks,25.4,Overweight,"Zinc, Magnesium",General nutrition,Adults,"Hemochromatosis, Angelman Syndrome, Seizure Disorders"
"Beef, fast fried, cooked, separable lean and fat, striploin, imported, New Zealand",301,8,38,15,"A, E, D, C",Others,20.4,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Children,Chronic Fatigue Syndrome
"Soybeans, steamed, cooked, sprouted, mature seeds",81,48,73,9,"D, A, E, C",Snacks,25.9,Overweight,"Magnesium, Iron",General nutrition,Adults,"Sleep Apnea, Glycogen Storage Disease"
"Potato chips, reduced fat, without salt",487,40,90,26,"C, B, A, D",Lunch,34.9,Obesity,"Calcium, Zinc",General nutrition,All ages,"Gaucher's Disease, Hyperthyroidism, Fabry Disease"
"Chicken, stewed, cooked, meat only, leg, broilers or fryers",185,0,81,23,A,Snacks,24.7,Normal weight,Magnesium,General nutrition,Adults,"Obesity, Lactose Intolerance"
"KASHI Pizza, unprepared, frozen, single serve, Greek Tzatziki",203,4,88,24,"A, E, C, B",Others,28.9,Overweight,"Zinc, Calcium",General nutrition,Old age,"Leigh Syndrome, Congenital Heart Disease"
"Beef, boiled, tripe cooked, variety meats and by-products, imported, New Zealand",103,43,58,8,"E, D, A",Snacks,20.2,Normal weight,Calcium,General nutrition,Old age,Multiple Sclerosis
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",161,14,12,20,"E, A",Snacks,18.8,Normal weight,Iron,General nutrition,Children,Epilepsy
"Sausage, lower sodium, Italian style, chicken or turkey",183,26,7,14,B,Snacks,19.6,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,Malnutrition
"Hominy, yellow, canned",72,46,70,1,"B, A, E, C",Snacks,21.8,Normal weight,"Iron, Calcium, Zinc",General nutrition,Old age,"Sepsis, Cataracts, Binge Eating Disorder"
"Frankfurter, meat",290,13,5,9,"B, E, A, C",Others,17.8,Underweight,"Iron, Magnesium",General nutrition,All ages,Sickle Cell Anemia
"Ice creams, light, chocolate",187,12,75,11,"A, D, E, B",Snacks,20.9,Normal weight,"Calcium, Zinc, Iron",General nutrition,Adults,"Phenylketonuria, Irritable Bowel Syndrome, Gaucher's Disease"
"Kefir, LIFEWAY, plain, lowfat",41,39,38,23,"A, D, E, C",Snacks,28.5,Overweight,"Iron, Magnesium",General nutrition,Old age,Neurofibromatosis
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",139,9,72,6,"A, B, E, C",Snacks,21.2,Normal weight,"Zinc, Calcium",General nutrition,Children,"Ornithine Transcarbamylase Deficiency, Asthma, Canavan Disease"
"Spices, caraway seed",333,1,15,0,A,Breakfast,18.1,Underweight,"Magnesium, Iron",General nutrition,Adults,Ehlers-Danlos Syndrome
"Beef, fast fried, cooked, separable lean only, rump centre, imported, New Zealand",188,39,66,26,"C, A, D, E",Snacks,28.5,Overweight,"Zinc, Calcium",General nutrition,Children,"Lactose Intolerance, Gaucher's Disease"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",158,14,23,12,"A, E, B, D",Snacks,21.3,Normal weight,Calcium,General nutrition,Old age,"Fabry Disease, High Cholesterol"
"Infant formula, ready-to-feed, low iron, SIMILAC, ABBOTT NUTRITION",65,47,86,12,"A, E, B, D",Snacks,28.6,Overweight,"Magnesium, Calcium, Zinc",General nutrition,Adults,"Phenylketonuria, Cystitis"
"Soup, home-prepared, fish, stock",16,39,64,12,"C, A, E",Snacks,21.1,Normal weight,Calcium,General nutrition,Adults,"Seizure Disorders, Thyroid Disorders"
"Beans, unprepared, frozen, immature seeds, pinto",170,40,54,9,"E, D, C",Snacks,21.5,Normal weight,"Magnesium, Iron",General nutrition,Children,"Hypoglycemia, Fibromyalgia"
"Cheese, without added vitamin D, American, pasteurized process",371,6,99,11,"D, E, C, A",Others,24.6,Normal weight,"Zinc, Iron, Magnesium",General nutrition,Children,"Cystinosis, Diabetes, Phenylketonuria"
"Beef, raw, separable lean and fat, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",129,45,51,26,"E, B, C",Snacks,29.4,Overweight,"Iron, Zinc, Magnesium",General nutrition,Old age,"Post-Traumatic Stress Disorder (PTSD), Anemia, Bipolar Disorder"
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",215,20,5,28,C,Others,19.6,Normal weight,Magnesium,General nutrition,Adults,Malnutrition
"Cereals, dry, Cranberry Almond, KELLOGG'S SPECIAL K NOURISH",361,29,14,17,E,Others,19.9,Normal weight,Iron,"Sustained energy, Digestive health, Blood sugar control",Old age,"Lactose Intolerance, Mucopolysaccharidosis, Anemia"
"Dressing, fat-free, honey mustard",169,10,25,28,"E, D",Snacks,19.8,Normal weight,"Zinc, Iron",General nutrition,Children,Celiac Disease
"New england brand sausage, beef, pork",161,39,60,22,"E, B, D, A",Snacks,27.9,Overweight,"Zinc, Iron, Calcium",General nutrition,Old age,Post-Traumatic Stress Disorder (PTSD)
"Peas and onions, solids and liquids, canned",51,36,2,22,"E, C, D",Snacks,21.6,Normal weight,"Calcium, Magnesium",General nutrition,Adults,"Anorexia Nervosa, Multiple Sclerosis"
"Cereals, dry, 1 minute cook time, CREAM OF WHEAT",359,1,53,16,"C, E, D, B",Others,20.9,Normal weight,"Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",All ages,HIV/AIDS
"McDONALD'S, Hot Fudge Sundae",186,12,73,19,"E, A, D, B",Snacks,22.2,Normal weight,"Calcium, Iron",General nutrition,All ages,"Gout, Leukemia"
"Fish, raw, ling",87,45,18,16,"C, E, D",Snacks,20.4,Normal weight,"Magnesium, Zinc, Calcium","Brain development, Joint health, Mood improvement",Adults,"Liver Disease, GERD, Anxiety"
"Snacks, sesame seed, brown rice, rice cakes",392,41,75,27,"E, A",Breakfast,25.6,Overweight,"Calcium, Zinc",General nutrition,Adults,Hypothyroidism
"Spices, dried, basil",233,39,95,7,"A, C",Breakfast,28.4,Overweight,Calcium,General nutrition,Children,"Meningitis, Heart Disease"
"Game meat, raw, separable lean only, bison",109,33,83,7,"D, E",Snacks,21.8,Normal weight,Calcium,General nutrition,Old age,Sickle Cell Anemia
"Pork, unheated, separable lean and fat, bone-in, rump, ham -- water added, cured",172,16,2,11,"A, C, E",Snacks,16.9,Underweight,"Calcium, Iron, Zinc",General nutrition,All ages,"Hemochromatosis, Attention Deficit Hyperactivity Disorder (ADHD), Hemophilia"
"KELLOGG'S, Mixed Berry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO",259,11,12,19,"A, D",Others,21.7,Normal weight,Iron,"Antioxidant boost, Immune support, Skin health",Adults,"Alkaptonuria, Kidney Disease"
