food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Beef, raw, seam fat, grass-fed, imported, Australian",100.0,562.0,13.0,48.0,1.0,"B, E, A, D",Calcium,General nutrition,Children,"Chronic Fatigue Syndrome, Binge Eating Disorder, Endometriosis"
"Margarine-like spread, SMART BEAT Smart Squeeze",100.0,47.0,37.0,48.0,20.0,"A, D, B, E","Zinc, Calcium",General nutrition,Children,Cushing's Syndrome
Omo Tuo with Palm Nut Soup,100.0,430.0,22.0,65.0,20.0,E,Calcium,High protein,rich in vitamins,Adults
"Babyfood, strained, vegetables chicken, dinner",100.0,59.0,14.0,75.0,26.0,"E, B",Calcium,General nutrition,Adults,Leukemia
"Veal, braised, cooked, separable lean only, cubed for stew (leg and shoulder)",100.0,188.0,6.0,44.0,1.0,E,"Zinc, Magnesium, Calcium",General nutrition,All ages,Neurofibromatosis
"Soup, dry, chicken broth or bouillon",100.0,267.0,4.0,16.0,11.0,"B, A, C, D",Calcium,General nutrition,Children,"Anemia, Angelman Syndrome, Hyperglycemia"
"Corn, regular pack, vacuum pack, canned, yellow, sweet",100.0,79.0,40.0,26.0,9.0,"D, B",Calcium,General nutrition,Old age,Sjogren's Syndrome
Kelewele,100.0,200.0,2.0,30.0,10.0,A,Calcium,Rich in vitamins,good for digestion,General
"TACO BELL, Nachos Supreme",100.0,223.0,10.0,75.0,18.0,E,"Zinc, Iron",General nutrition,All ages,"Menopause, Raynaud's Disease"
"Beef, raw, separable lean and fat, bolar blade, imported, New Zealand",100.0,159.0,29.0,9.0,18.0,"E, C, D","Magnesium, Zinc",General nutrition,Adults,"Binge Eating Disorder, Irritable Bowel Syndrome"
"Cookies, reduced fat, with creme filling, chocolate sandwich",100.0,436.0,21.0,21.0,20.0,"A, E","Iron, Zinc, Magnesium",General nutrition,Old age,"Acromegaly, Multiple Sclerosis, Parkinson's Disease"
"Turkey, roasted, cooked, light meat, all classes",100.0,147.0,41.0,36.0,25.0,"C, B","Magnesium, Iron",General nutrition,Old age,"Pancreatitis, Epilepsy, Post-Traumatic Stress Disorder (PTSD)"
"Mango, sweetened, dried",100.0,319.0,4.0,62.0,28.0,"E, A, B, D","Iron, Calcium, Zinc",General nutrition,All ages,Malnutrition
"Candies, KIT KAT Wafer Bar",100.0,518.0,6.0,15.0,1.0,"B, C",Zinc,General nutrition,Adults,Hyperoxaluria
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",100.0,289.0,35.0,74.0,6.0,"B, A, C","Iron, Calcium, Magnesium",General nutrition,Children,Meningitis
"GEORGE WESTON BAKERIES, Thomas English Muffins",100.0,232.0,44.0,19.0,15.0,"D, B, A, E",Zinc,General nutrition,Children,"HIV/AIDS, Autism Spectrum Disorder, Crohn's Disease"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",100.0,138.0,43.0,96.0,19.0,C,"Zinc, Iron",General nutrition,Children,"Hyperglycemia, Meningitis, Asthma"
"Snack, Mixed Berry Bar",100.0,383.0,41.0,86.0,22.0,"A, C, D","Iron, Calcium, Zinc","Antioxidant boost, Immune support, Skin health",Adults,"Marfan Syndrome, Skin Cancer"
"Wheat flour, enriched, self-rising, all-purpose, white",100.0,354.0,10.0,51.0,22.0,"B, D","Iron, Calcium, Magnesium",General nutrition,Adults,"Sleep Apnea, Multiple Sclerosis"
"Soup, ready to serve, beef barley",100.0,52.0,24.0,55.0,28.0,"B, C, E",Zinc,General nutrition,Adults,"Hypertension, Sleep Apnea"
"Pie, fruit, fried pies",100.0,316.0,9.0,99.0,0.0,"B, D, A","Zinc, Magnesium",General nutrition,Old age,
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",100.0,191.0,7.0,60.0,25.0,"E, C","Magnesium, Calcium",General nutrition,Old age,COPD
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Low Fat Granola, KELLOGG",100.0,375.0,26.0,33.0,28.0,"A, B","Iron, Zinc, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,"Lymphoma, Attention Deficit Hyperactivity Disorder (ADHD), Galactosemia"
"Gravy, microwavable, beef, CAMPBELL'S",100.0,42.0,34.0,6.0,13.0,"B, D",Zinc,General nutrition,Old age,"Asthma, Hypertension, Eczema"
"Sweet potato, home-prepared, candied, cooked",100.0,164.0,3.0,51.0,13.0,"A, E, C, B","Magnesium, Zinc",General nutrition,Old age,Hyperthyroidism
"MORNINGSTAR FARMS Breakfast Sausage Links, unprepared, frozen",100.0,159.0,35.0,13.0,19.0,"C, D","Magnesium, Zinc, Calcium",General nutrition,Adults,"Macular Degeneration, Fabry Disease, None"
"Pork, broiled, cooked, separable lean and fat, boneless, sirloin (chops), loin, fresh",100.0,170.0,22.0,49.0,23.0,"D, C, E","Iron, Zinc, Magnesium",General nutrition,All ages,"None, Anemia, Chronic Fatigue Syndrome"
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",100.0,207.0,49.0,59.0,13.0,"E, A","Zinc, Calcium, Iron",General nutrition,All ages,"Hypoglycemia, Cystinosis"
"Bread, no salt, low sodium, commercially prepared, white",100.0,267.0,8.0,10.0,12.0,"E, A, D",Iron,General nutrition,Adults,"Acromegaly, Asthma"
"Chicken, pan-fried, cooked, all classes, liver",100.0,172.0,33.0,67.0,18.0,"B, A, C",Iron,General nutrition,Children,Gout
"Yogurt, 10 grams protein per 8 ounce, low fat, fruit",100.0,102.0,23.0,10.0,18.0,"C, E, B, D","Calcium, Magnesium",General nutrition,Children,"Tuberculosis, Eating Disorders, Chronic Fatigue Syndrome"
"Pork, raw, chitterlings, variety meats and by-products, fresh",100.0,182.0,17.0,15.0,9.0,C,Calcium,General nutrition,All ages,Crohn's Disease
"Beef, cooked, separable fat, retail cuts",100.0,680.0,32.0,23.0,3.0,"E, A",Magnesium,General nutrition,Adults,"Polycystic Ovary Syndrome (PCOS), Cancer, Gout"
"Apple juice, with added ascorbic acid, undiluted, unsweetened, frozen concentrate",100.0,166.0,1.0,16.0,17.0,A,"Magnesium, Calcium",General nutrition,Children,Fabry Disease
"Butter, without salt",100.0,717.0,15.0,16.0,16.0,B,Calcium,General nutrition,All ages,"Glycogen Storage Disease, Hypothyroidism"
"Snacks, unsalted, sesame seed, brown rice, rice cakes",100.0,392.0,1.0,18.0,21.0,"C, D, B, A","Calcium, Magnesium",General nutrition,Children,Chronic Fatigue Syndrome
"Potsticker or wonton, unprepared, frozen, pork and vegetable",100.0,136.0,24.0,54.0,27.0,"A, C, E, B","Iron, Calcium",General nutrition,Old age,"Ornithine Transcarbamylase Deficiency, Inflammatory Bowel Disease"
"Figs, raw",100.0,74.0,4.0,7.0,6.0,A,Calcium,General nutrition,Children,Breast Cancer
"Bagels, without calcium propionate (includes onion, poppy, sesame), enriched, plain",100.0,275.0,38.0,87.0,9.0,D,"Iron, Zinc, Magnesium",General nutrition,Adults,"Leukemia, Alkaptonuria"
"Ice creams, soft-serve, light, vanilla",100.0,126.0,19.0,9.0,25.0,"A, C","Iron, Zinc",General nutrition,Children,"Ehlers-Danlos Syndrome, Cystic Fibrosis, Parkinson's Disease"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast/filet",100.0,149.0,8.0,18.0,21.0,"A, C, D","Iron, Zinc",General nutrition,Old age,"Acromegaly, Seizure Disorders"
"Cereals, cooked with water, WHEATENA",100.0,56.0,24.0,13.0,8.0,"D, A",Iron,"Sustained energy, Digestive health, Blood sugar control",Children,Multiple Sclerosis
"Butter oil, anhydrous",100.0,876.0,44.0,94.0,1.0,"E, D, C, A","Zinc, Calcium, Iron",General nutrition,Children,Ehlers-Danlos Syndrome
"Sorghum flour, unenriched, refined",100.0,357.0,34.0,5.0,13.0,"E, A, B, C","Iron, Zinc",General nutrition,Adults,"Binge Eating Disorder, Leigh Syndrome"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",100.0,166.0,33.0,77.0,9.0,"C, E","Zinc, Magnesium",General nutrition,Adults,"Psoriasis, Prostate Cancer"
"Cereals ready-to-eat, Apple ZINGS, MALT-O-MEAL",100.0,390.0,16.0,9.0,13.0,A,"Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Adults,"Maple Syrup Urine Disease, Rett Syndrome"
"Rice, cooked, unenriched, parboiled, long-grain, white",100.0,123.0,45.0,52.0,18.0,"E, B, A",Zinc,General nutrition,Children,"Lung Cancer, Addison's Disease"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",100.0,236.0,48.0,33.0,28.0,"E, B, A, D","Calcium, Iron",General nutrition,Old age,COPD
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100.0,178.0,9.0,78.0,20.0,"D, C, A","Zinc, Calcium",General nutrition,Adults,"Diabetes, Obesity"
"Shortening, fractionated palm, confectionery",100.0,884.0,49.0,30.0,6.0,D,"Magnesium, Calcium",General nutrition,All ages,"Tuberculosis, Phenylketonuria, Lymphoma"
Meat extender,100.0,311.0,0.0,20.0,0.0,"C, E, A","Zinc, Magnesium, Calcium","Muscle building, Iron absorption, Zinc boost",Old age,"Heart Disease, Lung Cancer"
"Beef, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",100.0,259.0,35.0,97.0,12.0,"A, E, D","Magnesium, Calcium",General nutrition,All ages,COPD
"KELLOGG'S, Frosted Apple Strudel Toaster Pastries, POP-TARTS",100.0,395.0,41.0,79.0,14.0,"B, D",Zinc,General nutrition,All ages,Pelvic Inflammatory Disease
"Biscuits, lower fat, refrigerated dough, plain or buttermilk",100.0,270.0,1.0,58.0,3.0,"A, D, B","Iron, Magnesium, Calcium",General nutrition,Adults,"Heart Disease, Fabry Disease"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100.0,246.0,3.0,80.0,1.0,"B, D, E, C","Magnesium, Iron, Calcium",General nutrition,Children,"Schizophrenia, Wilson's Disease"
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, fresh, imported, Australian",100.0,201.0,33.0,60.0,9.0,A,"Calcium, Magnesium",General nutrition,Old age,"Maple Syrup Urine Disease, Cystic Fibrosis, Polycystic Ovary Syndrome (PCOS)"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",100.0,169.0,33.0,19.0,21.0,"E, A, B",Magnesium,General nutrition,Old age,Fabry Disease
"Mollusks, raw, wild, eastern, oyster",100.0,51.0,20.0,57.0,6.0,"D, A",Magnesium,General nutrition,All ages,"Binge Eating Disorder, Hypertension, Leigh Syndrome"
"Oil, spotted seal (Alaska Native)",100.0,894.0,30.0,70.0,22.0,"A, D","Zinc, Calcium",General nutrition,Adults,Crohn's Disease
"Restaurant, tripe soup, Latino",100.0,74.0,8.0,22.0,8.0,A,Calcium,General nutrition,Adults,"Alkaptonuria, Seizure Disorders, Epilepsy"
"Restaurant, chicken and vegetables, Chinese",100.0,95.0,36.0,19.0,28.0,"A, C, B, D","Zinc, Magnesium",General nutrition,Old age,Lung Cancer
"Soy protein concentrate, produced by acid wash",100.0,328.0,30.0,50.0,8.0,E,"Magnesium, Iron, Calcium",General nutrition,Adults,"Hyperglycemia, Hemophilia, Cystitis"
"Babyfood, strained, green beans and turkey",100.0,51.0,5.0,25.0,21.0,"B, D, A","Zinc, Iron",General nutrition,Children,"Alkaptonuria, Acromegaly"
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, bone-in, frenched, roast, rack, fresh, imported, Australian",100.0,291.0,0.0,43.0,8.0,B,"Zinc, Iron",General nutrition,Adults,"Asthma, Sleep Apnea"
"VAN'S, Totally Original Waffles, Gluten Free",100.0,248.0,23.0,17.0,7.0,"A, C, E","Calcium, Zinc, Iron",General nutrition,Adults,"Tay-Sachs Disease, Breast Cancer"
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",100.0,187.0,19.0,41.0,19.0,"C, B","Magnesium, Calcium",General nutrition,Old age,Alkaptonuria
"Chicken, batter, fried, cooked, meat and skin and giblets and neck, broilers or fryers",100.0,291.0,44.0,2.0,1.0,"E, D, B, C",Magnesium,General nutrition,All ages,"Heart Disease, Macular Degeneration"
"Beef, raw, select, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100.0,142.0,13.0,86.0,29.0,"B, A, D",Iron,General nutrition,All ages,High Cholesterol
"Candies, prepared-from-recipe, with nuts, chocolate, fudge",100.0,461.0,38.0,60.0,15.0,E,"Iron, Calcium, Zinc",General nutrition,Adults,"Chronic Fatigue Syndrome, Arthritis"
"Candies, AFTER EIGHT Mints, NESTLE",100.0,432.0,48.0,37.0,13.0,"B, C","Zinc, Calcium",General nutrition,Children,"Macular Degeneration, Liver Disease"
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100.0,278.0,22.0,86.0,24.0,"D, A","Iron, Calcium, Magnesium",General nutrition,Children,"Prader-Willi Syndrome, Hepatitis, Cataracts"
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",100.0,318.0,21.0,64.0,22.0,"E, D, C",Magnesium,General nutrition,All ages,Asthma
"Babyfood, junior, broccoli and chicken, dinner",100.0,62.0,17.0,76.0,15.0,"E, A, C","Calcium, Magnesium, Zinc",General nutrition,Adults,Bipolar Disorder
"Grapes, raw, red or green (European type, such as Thompson seedless)",100.0,69.0,35.0,39.0,28.0,C,"Calcium, Iron",General nutrition,All ages,"Bulimia Nervosa, Breast Cancer, Seizure Disorders"
"Pasta, with added salt, unenriched, cooked",100.0,157.0,9.0,70.0,4.0,"C, E","Iron, Zinc, Calcium",General nutrition,Children,"Ornithine Transcarbamylase Deficiency, Thyroid Disorders, Sepsis"
"Seaweed, dried, agar",100.0,306.0,15.0,56.0,9.0,"E, B","Zinc, Calcium",General nutrition,Adults,"Psoriasis, Hemochromatosis"
"MURRAY, Chocolate Creme Sandwich Cookies",100.0,473.0,48.0,85.0,20.0,C,Magnesium,General nutrition,Old age,"Liver Disease, Encephalitis, Diabetes"
"Pasta, ANCIENT HARVEST, cooked, corn flour and quinoa flour, gluten-free",100.0,152.0,14.0,69.0,13.0,"D, B, C","Iron, Magnesium, Zinc",General nutrition,Old age,"Parkinson's Disease, Galactosemia, Anemia"
"Restaurant, kung pao chicken, Chinese",100.0,129.0,1.0,10.0,8.0,"B, E, A, D","Zinc, Calcium",General nutrition,All ages,Crohn's Disease
"Pizza, cooked, frozen, thin crust, cheese topping",100.0,263.0,42.0,17.0,23.0,"A, B, E",Calcium,General nutrition,Old age,"None, Crohn's Disease"
"Crackers, regular, wheat",100.0,455.0,41.0,86.0,20.0,"B, C, D","Iron, Calcium",General nutrition,Adults,"Leigh Syndrome, Cystic Fibrosis, Sickle Cell Anemia"
"Lamb, fast fried, cooked, separable lean only, bone-in, leg chop/steak, imported, New Zealand",100.0,162.0,47.0,48.0,25.0,"A, D","Iron, Zinc, Magnesium",General nutrition,Adults,"Anorexia Nervosa, Bulimia Nervosa"
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top round, round",100.0,185.0,8.0,90.0,15.0,D,Magnesium,General nutrition,Children,"Eating Disorders, Thalassemia"
"Fish, raw, farmed, rainbow, trout",100.0,141.0,49.0,54.0,2.0,"B, E, D",Iron,"Brain development, Joint health, Mood improvement",Children,"Hemochromatosis, Attention Deficit Hyperactivity Disorder (ADHD)"
"Cereals, dry, 2 1/2 minute cook time, CREAM OF WHEAT",100.0,355.0,13.0,17.0,27.0,A,"Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Parkinson's Disease, Ornithine Transcarbamylase Deficiency, Celiac Disease"
"Elk, cooked patties (Shoshone Bannock), ground, free range",100.0,143.0,14.0,44.0,16.0,"B, C, D",Zinc,General nutrition,Children,"Prader-Willi Syndrome, Lactose Intolerance, Post-Traumatic Stress Disorder (PTSD)"
"Toaster pastries, toasted (include apple, blueberry, cherry, strawberry), fruit",100.0,409.0,25.0,56.0,24.0,A,"Calcium, Iron",General nutrition,Old age,"Marfan Syndrome, Skin Cancer, Addison's Disease"
"Beef composite, cooked, choice, trimmed to 1/8"" fat, separable lean only",100.0,203.0,7.0,23.0,26.0,"C, B, D, E",Iron,General nutrition,All ages,"Depression, Hypothyroidism, Cystitis"
"Lima beans, with salt, drained, boiled, cooked, immature seeds",100.0,123.0,7.0,82.0,13.0,"E, D",Iron,General nutrition,Children,"Seizure Disorders, Macular Degeneration"
"Snacks, unsalted, chips, extruded, corn-based",100.0,557.0,35.0,58.0,4.0,"A, D, E","Zinc, Iron, Magnesium",General nutrition,All ages,"Asthma, None"
"Peanut flour, defatted",100.0,327.0,48.0,81.0,18.0,"A, B","Calcium, Magnesium, Zinc",General nutrition,Old age,"Celiac Disease, Arthritis"
"Tortilla chips, salted, plain, yellow",100.0,497.0,21.0,35.0,22.0,"E, D, C, A","Calcium, Zinc, Magnesium",General nutrition,Old age,"Ovarian Cancer, Menopause, Sepsis"
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Noodle Soup",100.0,30.0,22.0,63.0,14.0,"D, C, E, A","Zinc, Calcium",General nutrition,All ages,Leukemia
"Cereals ready-to-eat, Honey Toasted Oat, KASHI HEART TO HEART",100.0,364.0,25.0,12.0,23.0,"D, C, E","Magnesium, Iron","Sustained energy, Digestive health, Blood sugar control",All ages,Hypothyroidism
"Fast foods, regular patty; with condiments, hamburger; single",100.0,263.0,34.0,81.0,20.0,"D, A, B","Iron, Calcium, Zinc",General nutrition,Old age,"Rett Syndrome, Glaucoma"
"Fish, dry heat, cooked, mixed species, snapper",100.0,128.0,43.0,61.0,26.0,"B, E, D, A","Iron, Zinc","Brain development, Joint health, Mood improvement",Children,Hyperthyroidism
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",100.0,230.0,29.0,23.0,17.0,"E, A, B, D","Calcium, Magnesium, Iron",General nutrition,All ages,Celiac Disease
"Chili, canned entree, no beans",100.0,118.0,7.0,20.0,25.0,"B, C, E, D","Magnesium, Calcium, Iron",General nutrition,Old age,"Leigh Syndrome, Polycystic Ovary Syndrome (PCOS), Wilson's Disease"
"Bagels, toasted, with calcium propionate (includes onion, poppy, sesame), enriched, plain",100.0,287.0,5.0,21.0,16.0,B,Calcium,General nutrition,Children,"Cystitis, Asthma"
"Sauce, shelf stable, ready-to-serve, pesto",100.0,426.0,16.0,23.0,20.0,"D, C, E",Magnesium,General nutrition,All ages,Hepatitis
"Salisbury steak with gravy, frozen",100.0,149.0,37.0,71.0,26.0,"C, A, E, D","Calcium, Magnesium",General nutrition,Children,"Glycogen Storage Disease, Prader-Willi Syndrome, Cystic Fibrosis"
"Oil, salad or cooking, peanut",100.0,884.0,36.0,44.0,9.0,"B, D",Calcium,General nutrition,Old age,Sepsis
"GLUTINO, Chocolate Vanilla Creme, Gluten Free Cookies",100.0,474.0,8.0,14.0,14.0,"B, E","Magnesium, Iron, Calcium",General nutrition,Old age,"Leigh Syndrome, Epilepsy"
"Oil, salad or cooking, sesame",100.0,884.0,21.0,95.0,18.0,"E, C, D","Iron, Zinc",General nutrition,All ages,"Tuberculosis, Alkaptonuria"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",100.0,164.0,10.0,69.0,23.0,"E, B",Iron,General nutrition,Children,"Acromegaly, Attention Deficit Hyperactivity Disorder (ADHD), Hyperthyroidism"
"Yachtwurst, cooked, with pistachio nuts",100.0,268.0,2.0,8.0,10.0,"A, E, B, C",Zinc,General nutrition,Adults,"Tuberculosis, Fibromyalgia, Neurofibromatosis"
"Asparagus, without salt, drained, boiled, cooked, frozen",100.0,18.0,16.0,51.0,23.0,"D, B","Iron, Calcium, Magnesium",General nutrition,All ages,Cushing's Syndrome
"Chicken, barbecue flavored, glazed, frozen, wing",100.0,211.0,28.0,82.0,27.0,B,"Iron, Calcium",General nutrition,Old age,Attention Deficit Hyperactivity Disorder (ADHD)
"Cereals ready-to-eat, honey roasted, HONEY BUNCHES OF OATS, POST",100.0,401.0,3.0,18.0,22.0,"D, E, A, C","Iron, Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,"Food Allergies, Glaucoma, Canavan Disease"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, bone-in, back ribs, rib",100.0,305.0,0.0,86.0,25.0,"D, A, C","Calcium, Magnesium, Iron",General nutrition,Children,Fabry Disease
"Veal, raw, separable lean and fat, rib roast, rib, Australian",100.0,201.0,19.0,95.0,3.0,B,Zinc,General nutrition,All ages,"Hypertension, Post-Traumatic Stress Disorder (PTSD)"
"Corn flour, white, whole-grain",100.0,361.0,32.0,81.0,26.0,"C, D, E",Calcium,General nutrition,Adults,Gallstones
"Pie, cherry, fried pies",100.0,316.0,16.0,94.0,1.0,"A, E","Magnesium, Calcium",General nutrition,Old age,"Schizophrenia, Polycystic Ovary Syndrome (PCOS), Alzheimer's Disease"
"Cereals ready-to-eat, with almonds, HONEY BUNCHES OF OATS, POST",100.0,409.0,45.0,6.0,25.0,"D, A","Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,"Endometriosis, Marfan Syndrome, Rett Syndrome"
"KASHI, Honey Sesame Crackers, TLC",100.0,398.0,46.0,64.0,21.0,"A, E, B, D",Magnesium,General nutrition,All ages,"Rett Syndrome, Sickle Cell Anemia"
"Veal, cooked, separable fat, breast",100.0,521.0,3.0,84.0,28.0,A,Calcium,General nutrition,Children,"Macular Degeneration, Celiac Disease"
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean only, roast, eye of round, round",100.0,163.0,34.0,8.0,26.0,"B, A","Magnesium, Zinc",General nutrition,Old age,"Tay-Sachs Disease, Attention Deficit Hyperactivity Disorder (ADHD), HIV/AIDS"
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Multigrain Oats and Honey",100.0,362.0,37.0,90.0,25.0,"B, E",Calcium,"Sustained energy, Digestive health, Blood sugar control",Adults,"Raynaud's Disease, Tay-Sachs Disease"
"Chicken, roasted, cooked, meat and skin, thigh, broilers or fryers",100.0,232.0,14.0,69.0,12.0,"B, A, D, E","Zinc, Magnesium, Iron",General nutrition,All ages,"Sepsis, Thyroid Disorders, Acromegaly"
"Oil, pourable clear fry, soy (partially hydrogenated ) and soy (winterized), industrial",100.0,884.0,49.0,29.0,14.0,"E, A","Magnesium, Iron",General nutrition,Adults,Hypoglycemia
"Restaurant, prepared, beef, empanadas, Latino",100.0,335.0,10.0,42.0,3.0,"C, E, D","Magnesium, Calcium",General nutrition,Adults,Angelman Syndrome
"CRACKER BARREL, country fried shrimp platter",100.0,287.0,34.0,87.0,23.0,"B, D, A, C","Iron, Zinc",General nutrition,Old age,"Tuberculosis, Chronic Fatigue Syndrome, Hypoglycemia"
"Milk, without added vitamin A and vitamin D, instant, nonfat, dry",100.0,358.0,40.0,52.0,13.0,"B, E, C, D",Zinc,General nutrition,Children,Rett Syndrome
"Oil, (over 70%), linoleic, salad or cooking, safflower",100.0,884.0,25.0,70.0,6.0,"E, A, B, D","Zinc, Calcium, Magnesium",General nutrition,All ages,"Sjogren's Syndrome, Addison's Disease, Hepatitis"
"Wheat flour, unenriched, bleached, 11.5% protein, white (industrial)",100.0,363.0,41.0,36.0,8.0,"A, E, C, B",Zinc,General nutrition,Adults,"Endometriosis, Post-Traumatic Stress Disorder (PTSD)"
"Squash, without salt, mashed, boiled, cooked, hubbard, winter",100.0,30.0,27.0,78.0,26.0,"C, D, B",Magnesium,General nutrition,Children,Attention Deficit Hyperactivity Disorder (ADHD)
"Babyfood, mixed fruit juice with low fat yogurt",100.0,76.0,11.0,66.0,8.0,"B, D, E","Calcium, Zinc",General nutrition,Adults,"Obesity, Hepatitis, Irritable Bowel Syndrome"
"Peanuts, raw, virginia",100.0,563.0,49.0,10.0,22.0,"C, D, E","Magnesium, Calcium, Iron",General nutrition,Old age,Gout
"McDONALD'S, french fries",100.0,323.0,14.0,41.0,7.0,"A, E","Calcium, Zinc, Magnesium",General nutrition,All ages,"Hyperthyroidism, Anorexia Nervosa"
"Rice, unenriched, raw, medium-grain, white",100.0,360.0,25.0,89.0,17.0,"D, A",Magnesium,General nutrition,All ages,Endometriosis
"PEPPERIDGE FARM, Pumpernickel Bread",100.0,259.0,40.0,33.0,12.0,"A, B","Calcium, Zinc",General nutrition,All ages,Hypothyroidism
"McDONALD'S, Premium Grilled Chicken Classic Sandwich",100.0,183.0,39.0,87.0,7.0,"E, B, A, D","Calcium, Magnesium, Iron",General nutrition,Adults,"Sickle Cell Anemia, Phenylketonuria, Pelvic Inflammatory Disease"
"Beef, pan-broiled, cooked, patty, 85% lean meat / 15% fat, ground",100.0,232.0,9.0,20.0,16.0,"B, E, D","Zinc, Magnesium",General nutrition,Adults,Anorexia Nervosa
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, heel on, hindshank, leg, fresh, imported, Australian",100.0,122.0,2.0,84.0,27.0,"E, B, A","Iron, Calcium, Zinc",General nutrition,Adults,"Ulcerative Colitis, Gallstones, Rett Syndrome"
"Lamb, fast fried, cooked, separable lean only, loin chop, imported, New Zealand",100.0,208.0,33.0,93.0,19.0,"B, E, A","Iron, Calcium, Zinc",General nutrition,Old age,"Celiac Disease, Asthma"
"Chicken, raw, meat and skin, cornish game hens",100.0,200.0,11.0,13.0,1.0,"D, A","Zinc, Calcium, Magnesium",General nutrition,Children,"Anxiety, Lymphoma, Bulimia Nervosa"
"Gravy, savory beef, HEINZ Home Style",100.0,39.0,46.0,87.0,28.0,"A, D, C","Magnesium, Iron",General nutrition,Old age,"Ehlers-Danlos Syndrome, Glycogen Storage Disease"
"Cereals ready-to-eat, Honey Nut CHEX, GENERAL MILLS",100.0,375.0,9.0,7.0,10.0,B,"Zinc, Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,Sickle Cell Anemia
"CAMPBELL'S, condensed, cream of chicken soup, HEALTHY REQUEST",100.0,50.0,1.0,25.0,23.0,"A, B, D, E","Zinc, Iron",General nutrition,Old age,GERD
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",100.0,164.0,27.0,66.0,11.0,"C, B, D, A",Calcium,General nutrition,Old age,"Fabry Disease, Hyperoxaluria"
"Cereals, reduced sugar, Cinnamon Spice, Instant Oatmeal, QUAKER",100.0,358.0,0.0,66.0,26.0,"B, E","Iron, Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Adults,"Alkaptonuria, Autism Spectrum Disorder, Pelvic Inflammatory Disease"
"Cereals ready-to-eat, QUAKER Honey Graham LIFE Cereal, QUAKER",100.0,373.0,49.0,69.0,18.0,D,"Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",Old age,Hypothyroidism
"Beverages, Ready-to-Drink, Nutritional Shake, ENSURE, ABBOTT",100.0,105.0,13.0,11.0,6.0,"D, E, A, C","Iron, Calcium",General nutrition,Adults,"Leigh Syndrome, Hemophilia"
"Veal, raw, external fat only",100.0,503.0,33.0,95.0,17.0,"D, A, E, B","Calcium, Iron",General nutrition,Old age,"Sepsis, Fabry Disease"
"Ice creams, All Natural Light Vanilla Chocolate Strawberry, BREYERS",100.0,161.0,30.0,17.0,23.0,A,"Iron, Zinc, Calcium",General nutrition,Old age,Phenylketonuria
